Date	Open*	High	Low	Close**	Volume	Market Cap
Feb 21, 2018	1.01	1.04	0.905180	0.943307	10,796,500	515,586,560
Feb 20, 2018	1.18	1.21	1.00	1.01	11,695,000	600,381,312
Feb 19, 2018	1.15	1.23	1.15	1.18	7,981,530	589,186,304
Feb 18, 2018	1.28	1.30	1.13	1.16	10,089,200	655,233,728
Feb 17, 2018	1.28	1.29	1.22	1.28	17,435,200	651,813,184
Feb 16, 2018	1.38	1.38	1.14	1.29	82,943,000	702,522,752
Feb 15, 2018	1.08	1.40	1.01	1.40	26,781,300	547,035,392
Feb 14, 2018	0.965720	1.11	0.956776	1.07	11,780,000	490,741,984
Feb 13, 2018	1.03	1.04	0.950210	0.967812	12,220,300	522,803,232
Feb 12, 2018	0.988344	1.09	0.988344	1.03	6,619,560	501,382,016
Feb 11, 2018	1.09	1.09	0.934155	0.979054	4,888,770	555,363,264
Feb 10, 2018	1.14	1.20	0.985705	1.10	10,828,700	576,535,360
Feb 09, 2018	1.08	1.15	1.01	1.14	5,979,420	545,842,240
Feb 08, 2018	0.988963	1.13	0.988963	1.07	12,992,800	501,142,400
Feb 07, 2018	1.01	1.16	0.902145	0.993355	13,476,600	513,162,624
Feb 06, 2018	0.821889	1.03	0.640081	1.02	18,000,300	415,692,832
Feb 05, 2018	1.15	1.16	0.735911	0.817119	16,094,600	579,816,640
Feb 04, 2018	1.39	1.39	1.05	1.15	13,450,500	703,995,584
Feb 03, 2018	1.30	1.50	1.15	1.39	14,554,900	655,191,808
Feb 02, 2018	1.61	1.61	1.05	1.30	26,332,600	807,909,184
Feb 01, 2018	1.86	1.93	1.44	1.60	30,422,600	936,046,848
Jan 31, 2018	1.60	1.85	1.52	1.85	21,686,200	802,529,472
Jan 30, 2018	1.86	1.86	1.49	1.59	18,317,000	935,070,400
Jan 29, 2018	1.98	2.00	1.80	1.85	17,848,200	991,505,344
Jan 28, 2018	2.09	2.11	1.96	1.98	24,255,700	1,050,126,144
Jan 27, 2018	2.01	2.16	1.96	2.09	65,038,500	1,008,113,344
Jan 26, 2018	1.63	2.09	1.52	2.04	47,746,300	814,457,792
Jan 25, 2018	1.68	1.74	1.56	1.63	16,177,100	840,474,560
Jan 24, 2018	1.59	1.69	1.55	1.66	16,389,700	795,012,800
Jan 23, 2018	1.67	1.75	1.51	1.59	18,675,000	835,497,664
Jan 22, 2018	1.73	1.79	1.55	1.68	21,507,700	863,082,688
Jan 21, 2018	2.04	2.04	1.67	1.71	15,587,600	1,017,563,456
Jan 20, 2018	1.83	2.09	1.83	2.04	25,539,700	911,822,528
Jan 19, 2018	1.64	1.92	1.57	1.81	21,806,000	813,299,136
Jan 18, 2018	1.53	1.77	1.48	1.65	25,391,700	760,731,392
Jan 17, 2018	1.57	1.69	1.11	1.52	39,263,200	777,744,128
Jan 16, 2018	1.74	1.74	1.10	1.57	49,883,900	859,392,192
Jan 15, 2018	1.98	2.17	1.74	1.75	34,993,600	976,255,104
Jan 14, 2018	2.37	2.41	1.89	2.00	36,420,000	1,167,208,448
Jan 13, 2018	2.23	2.50	2.19	2.37	49,679,100	1,095,094,656
Jan 12, 2018	1.86	2.23	1.81	2.22	37,064,300	909,000,832
Jan 11, 2018	2.15	2.17	1.63	1.85	45,923,400	1,054,474,688
Jan 10, 2018	2.19	2.38	1.71	2.15	81,011,400	1,062,051,456
Jan 09, 2018	1.89	2.53	1.77	2.17	208,910,000	915,570,176
Jan 08, 2018	1.37	2.16	1.15	1.91	72,631,600	659,729,088
Jan 07, 2018	1.39	1.54	1.35	1.36	40,839,200	664,840,640
Jan 06, 2018	1.12	1.52	1.08	1.36	37,822,200	533,813,440
Jan 05, 2018	1.04	1.31	0.992012	1.12	38,594,200	496,997,760
Jan 04, 2018	0.978614	1.08	0.965997	1.05	19,658,400	466,294,208
Jan 03, 2018	0.899551	1.06	0.828857	0.974472	18,706,300	428,602,944
Jan 02, 2018	0.875881	0.995683	0.792368	0.896672	21,864,200	417,285,632
Jan 01, 2018	0.904355	1.02	0.863124	0.877714	19,205,400	429,676,480
Dec 31, 2017	0.685294	0.943356	0.685294	0.895721	20,968,200	325,042,880
Dec 30, 2017	0.683597	0.688402	0.589435	0.688402	9,462,650	323,995,456
Dec 29, 2017	0.658644	0.700825	0.620545	0.684076	9,252,790	311,839,520
Dec 28, 2017	0.666285	0.705512	0.581613	0.646711	7,802,720	314,986,528
Dec 27, 2017	0.648181	0.712597	0.617503	0.669701	11,866,800	306,131,040
Dec 26, 2017	0.693401	0.708796	0.563918	0.647725	12,996,000	327,270,080
Dec 25, 2017	0.634725	0.717725	0.630453	0.696416	8,668,880	317,362,368
Dec 24, 2017	0.651100	0.672352	0.534855	0.628460	11,478,700	325,550,016
Dec 23, 2017	0.502023	0.768043	0.485584	0.645686	24,164,900	251,011,616
Dec 22, 2017	0.584187	0.587635	0.382546	0.498971	11,644,900	292,093,440
Dec 21, 2017	0.575139	0.645124	0.521933	0.578530	17,172,500	287,569,632
Dec 20, 2017	0.562926	0.575164	0.482775	0.575164	13,472,300	281,463,072
Dec 19, 2017	0.511452	0.589200	0.479695	0.564137	19,760,200	255,725,856
Dec 18, 2017	0.465889	0.511789	0.423639	0.511789	11,392,600	232,944,608
Dec 17, 2017	0.384319	0.494670	0.379706	0.463769	13,712,400	192,159,408
Dec 16, 2017	0.359665	0.394361	0.348884	0.383183	8,364,440	179,832,336
Dec 15, 2017	0.380477	0.381291	0.316432	0.359391	7,291,850	190,238,480
Dec 14, 2017	0.340650	0.426488	0.327682	0.379367	14,972,500	170,325,072
Dec 13, 2017	0.266793	0.350352	0.252449	0.342906	11,877,700	133,396,688
Dec 12, 2017	0.236597	0.268088	0.227585	0.262825	6,220,020	118,298,568
Dec 11, 2017	0.227310	0.244889	0.223696	0.235145	3,631,750	113,655,040
Dec 10, 2017	0.243797	0.243797	0.212126	0.228401	2,475,840	121,898,448
Dec 09, 2017	0.266705	0.275125	0.227630	0.241584	3,064,890	133,352,336
Dec 08, 2017	0.263661	0.274864	0.218665	0.267595	4,576,860	131,830,440
Dec 07, 2017	0.257653	0.303565	0.241263	0.263130	10,651,700	128,826,320
Dec 06, 2017	0.218390	0.311601	0.217306	0.259519	12,737,300	109,195,192
Dec 05, 2017	0.224989	0.228100	0.204969	0.218572	4,516,980	112,494,696
Dec 04, 2017	0.212143	0.227198	0.205635	0.223559	3,421,880	106,071,616
Dec 03, 2017	0.214770	0.219164	0.200307	0.211341	4,225,350	107,384,800
Dec 02, 2017	0.202384	0.225993	0.193248	0.211218	3,303,170	101,191,928
Dec 01, 2017	0.188945	0.205803	0.181375	0.201924	1,670,050	94,472,424
Nov 30, 2017	0.193151	0.211591	0.175520	0.188614	2,579,330	96,575,696
Nov 29, 2017	0.226356	0.229552	0.181921	0.190781	3,895,780	113,178,040
Nov 28, 2017	0.233394	0.234871	0.223832	0.225542	3,017,060	116,696,776
Nov 27, 2017	0.225910	0.234219	0.212298	0.233117	3,421,410	112,955,160
Nov 26, 2017	0.229367	0.235126	0.215153	0.226367	3,034,850	114,683,328
Nov 25, 2017	0.234212	0.239257	0.223383	0.228617	2,381,170	117,105,776
Nov 24, 2017	0.215836	0.236280	0.209834	0.234195	2,700,630	107,918,136
Nov 23, 2017	0.228887	0.232974	0.214334	0.216585	2,847,780	114,443,720
Nov 22, 2017	0.195522	0.230576	0.193680	0.229269	2,845,530	97,760,960
Nov 21, 2017	0.200292	0.203090	0.191896	0.194747	1,755,470	100,145,792
Nov 20, 2017	0.197899	0.203638	0.195916	0.201159	1,806,100	98,949,496
Nov 19, 2017	0.204904	0.205951	0.195754	0.197092	1,561,090	102,451,920
Nov 18, 2017	0.185865	0.208508	0.183135	0.204693	2,419,170	92,932,528
Nov 17, 2017	0.190758	0.192559	0.182209	0.183124	1,520,350	95,379,000
Nov 16, 2017	0.198480	0.200206	0.188278	0.190098	2,103,460	99,240,008
Nov 15, 2017	0.199515	0.206300	0.195537	0.197774	1,815,630	99,757,600
Nov 14, 2017	0.194054	0.202626	0.189433	0.199258	1,370,970	97,026,912
