Date	Open*	High	Low	Close**	Volume	Market Cap
Apr 11, 2018	13.46	14.43	13.45	14.43	129,214,000	1,191,691,648
Apr 10, 2018	13.50	13.60	12.97	13.44	89,319,904	1,194,624,512
Apr 09, 2018	13.46	14.48	13.18	13.46	125,374,000	1,191,329,536
Apr 08, 2018	13.19	13.59	12.78	13.46	74,875,904	1,167,642,496
Apr 07, 2018	12.86	13.51	12.84	13.17	82,806,496	1,138,115,456
Apr 06, 2018	13.43	13.58	12.62	12.88	78,152,096	1,188,404,480
Apr 05, 2018	13.63	13.72	12.99	13.52	97,377,600	1,206,612,352
Apr 04, 2018	15.19	15.21	13.30	13.64	94,847,800	1,343,865,728
Apr 03, 2018	14.43	15.24	14.29	15.23	126,352,000	1,276,665,856
Apr 02, 2018	13.53	14.65	13.37	14.39	118,403,000	1,196,882,944
Apr 01, 2018	14.26	14.40	12.79	13.46	91,857,800	1,261,698,944
Mar 31, 2018	14.34	14.88	14.18	14.25	85,937,600	1,268,936,192
Mar 30, 2018	14.28	14.96	13.54	14.38	116,895,000	1,263,476,608
Mar 29, 2018	15.71	15.77	14.13	14.34	112,786,000	1,390,303,744
Mar 28, 2018	15.30	16.26	15.30	15.68	113,916,000	1,353,702,400
Mar 27, 2018	16.16	16.94	14.76	15.31	158,892,992	1,429,793,664
Mar 26, 2018	18.02	18.24	15.31	16.24	251,406,000	1,594,290,688
Mar 25, 2018	17.88	18.42	17.72	18.02	191,428,992	1,581,525,760
Mar 24, 2018	18.62	19.27	17.97	18.07	204,348,992	1,647,173,632
Mar 23, 2018	19.29	19.29	17.86	18.45	197,627,008	1,706,871,680
Mar 22, 2018	20.02	20.29	18.10	19.53	257,544,992	1,770,818,176
Mar 21, 2018	20.99	21.27	18.93	19.77	298,078,016	1,552,567,424
Mar 20, 2018	21.14	22.08	18.51	20.77	681,012,992	1,563,688,832
Mar 19, 2018	13.44	20.70	13.31	20.29	445,147,008	994,298,304
Mar 18, 2018	13.54	13.73	11.18	13.48	134,149,000	1,001,315,200
Mar 17, 2018	14.95	15.10	13.08	13.57	97,763,200	1,105,946,368
Mar 16, 2018	15.77	15.88	14.66	14.98	105,734,000	1,166,067,200
Mar 15, 2018	16.12	16.49	14.49	15.72	134,348,992	1,192,180,096
Mar 14, 2018	18.19	18.73	15.87	16.19	96,771,400	1,344,983,680
Mar 13, 2018	18.35	18.80	17.87	18.18	102,287,000	1,357,115,392
Mar 12, 2018	19.56	19.95	18.03	18.46	122,222,000	1,446,383,232
Mar 11, 2018	18.38	19.97	17.57	19.71	115,316,000	1,359,217,920
Mar 10, 2018	19.57	20.15	18.13	18.21	118,137,000	1,447,139,712
Mar 09, 2018	19.88	20.14	17.34	19.53	170,260,992	1,469,465,728
Mar 08, 2018	21.82	22.35	19.92	20.03	153,724,992	1,612,898,432
Mar 07, 2018	25.10	25.57	21.10	21.93	116,397,000	1,855,620,352
Mar 06, 2018	26.44	26.97	24.99	25.10	98,457,104	1,954,671,488
Mar 05, 2018	26.52	27.48	26.02	26.61	108,682,000	1,960,707,712
Mar 04, 2018	25.86	26.52	25.01	26.43	75,106,704	1,911,848,192
Mar 03, 2018	26.10	26.63	25.69	25.79	76,812,600	1,929,581,568
Mar 02, 2018	26.84	27.07	25.50	26.08	76,210,096	1,983,608,832
Mar 01, 2018	26.31	26.97	25.93	26.82	95,387,696	1,944,899,968
Feb 28, 2018	27.94	28.40	26.19	26.22	98,749,296	2,065,064,064
Feb 27, 2018	28.98	29.50	27.91	28.00	152,214,000	2,142,105,216
Feb 26, 2018	25.99	29.94	25.01	28.81	263,836,000	1,921,130,240
Feb 25, 2018	26.51	26.58	25.02	25.94	74,345,296	1,959,445,376
Feb 24, 2018	28.11	28.88	25.75	26.60	109,964,000	2,077,343,232
Feb 23, 2018	26.25	28.10	25.04	28.10	127,678,000	1,940,131,840
Feb 22, 2018	28.53	29.11	25.56	26.37	135,016,000	2,108,058,112
Feb 21, 2018	30.88	30.92	27.85	28.56	176,591,008	2,281,563,648
Feb 20, 2018	32.72	33.41	31.02	31.11	203,359,008	2,417,679,872
Feb 19, 2018	31.41	32.93	31.19	32.66	197,224,000	2,321,057,536
Feb 18, 2018	33.47	33.68	29.97	31.24	181,070,000	2,473,005,312
Feb 17, 2018	33.17	33.69	32.67	33.56	178,524,992	2,450,944,000
Feb 16, 2018	33.03	33.95	31.99	33.02	166,522,000	2,440,375,552
Feb 15, 2018	32.42	33.53	31.91	33.06	222,910,000	2,394,938,880
Feb 14, 2018	30.04	32.62	29.99	32.55	334,300,000	2,219,240,704
Feb 13, 2018	30.21	30.46	28.55	30.11	242,714,000	2,231,573,504
Feb 12, 2018	27.58	30.81	27.58	30.13	212,954,000	2,037,250,688
Feb 11, 2018	30.21	30.21	26.26	27.48	258,212,000	2,231,910,912
Feb 10, 2018	30.83	34.59	29.08	30.27	421,275,008	2,277,456,640
Feb 09, 2018	27.79	31.59	25.98	31.16	618,153,984	2,052,794,368
Feb 08, 2018	21.95	27.38	21.95	26.48	276,759,008	1,621,643,776
Feb 07, 2018	24.09	24.53	20.99	21.78	238,850,000	1,779,022,080
Feb 06, 2018	20.93	24.32	16.67	24.05	386,633,984	1,545,604,992
Feb 05, 2018	26.24	26.76	19.64	20.54	200,730,000	1,937,847,552
Feb 04, 2018	29.72	30.68	25.38	26.19	219,327,008	2,195,082,496
Feb 03, 2018	30.39	31.62	25.77	29.93	305,047,008	2,244,474,624
Feb 02, 2018	35.56	35.56	22.31	30.26	566,508,032	2,626,061,824
Feb 01, 2018	42.10	42.10	34.71	35.68	371,497,984	3,108,804,096
Jan 31, 2018	37.30	42.38	34.62	42.12	437,472,000	2,754,251,008
Jan 30, 2018	43.60	43.64	36.71	37.33	275,840,000	3,219,346,944
Jan 29, 2018	43.84	45.51	42.33	43.41	412,998,016	3,236,942,848
Jan 28, 2018	39.74	44.08	39.74	43.76	346,952,000	2,934,442,752
Jan 27, 2018	39.77	40.48	38.15	39.58	228,016,000	2,936,637,696
Jan 26, 2018	40.41	41.73	35.83	39.70	378,512,000	2,983,483,392
Jan 25, 2018	40.93	41.98	39.68	40.72	330,419,008	3,021,827,584
Jan 24, 2018	39.05	42.40	38.25	40.51	412,604,992	2,883,114,752
Jan 23, 2018	40.03	41.09	35.62	39.15	455,691,008	2,955,640,832
Jan 22, 2018	43.19	43.95	36.59	39.97	665,030,976	3,188,595,200
Jan 21, 2018	51.71	51.79	40.91	42.82	1,472,770,048	3,817,437,696
Jan 20, 2018	39.22	51.26	39.11	51.26	1,389,340,032	2,895,045,632
